feature,num_unique_values,unique_values,value_counts,total_values_count
Audio Evidence,2,"[True, False]","{True: 7008, False: 3984}",10992
Image/Video/Visual Evidence,2,"[True, False]","{True: 6221, False: 4771}",10992
Haunted Places Date,1108,"[""['1901/01/01']"", '2025/01/01', ""['1970/01/01']"", ""['1800/01/01']"", ""['2025/10/01']"", ""['2007/03/01']"", ""['1977/01/01', ' 1970/01/01']"", ""['2008/03/01']"", ""['2001/01/01']"", ""['2025/01/01']"", ""['1920/01/01']"", ""['2003/10/01', ' 2004/02/01']"", ""['2005/08/01']"", ""['1994/01/01', ' 1936/01/01']"", ""['1600/01/01']"", ""['1990/01/01']"", ""['1903/01/01']"", ""['2003/11/01']"", ""['1801/01/01', ' 2025/06/01']"", ""['1924/01/01', ' 1901/01/01', ' 1950/01/01', ' 1920/01/01', ' 1930/01/01', ' 1950/01/01', ' 1979/01/01']""]","{'2025/01/01': 7760, ""['2025/01/01']"": 188, ""['1901/01/01']"": 163, ""['1800/01/01']"": 132, ""['1970/01/01']"": 78, ""['1980/01/01']"": 75, ""['1950/01/01']"": 74, ""['1801/01/01']"": 67, ""['1960/01/01']"": 66, ""['1920/01/01']"": 50}",10992
Haunted Places Witness Count,27,"[16, 5, 1, 0, 14, 10, 6, 12, 18, 3, 8, 4, 2, 15, 21, 11, 17, 7, 9, 22]","{0: 4446, 1: 4429, 5: 772, 6: 428, 10: 191, 4: 191, 2: 102, 12: 97, 3: 78, 8: 62}",10992
Time of Day,5,"['night', 'Unknown', 'morning', 'evening', 'afternoon']","{'Unknown': 5372, 'night': 5312, 'morning': 178, 'evening': 93, 'afternoon': 37}",10992
Apparition Type,8,"['Several Ghosts', 'Unknown', 'Female Ghost', 'Orb', 'Male Ghost', 'Child Ghost', 'Ghost', 'UFO']","{'Unknown': 5379, 'Several Ghosts': 2310, 'Female Ghost': 1387, 'Child Ghost': 980, 'Male Ghost': 589, 'Orb': 292, 'Ghost': 48, 'UFO': 7}",10992
Event type,8,"['Murder', 'Fire and Destruction', 'Unexplained Movements and Physical Manifestations', 'Violent or Tragic Deaths', 'Sounds and Noises', 'Ghostly Sightings', 'Mysterious Occurrences', 'Object and Environmental Manipulation']","{'Unexplained Movements and Physical Manifestations': 2422, 'Ghostly Sightings': 2357, 'Violent or Tragic Deaths': 1381, 'Sounds and Noises': 1067, 'Murder': 918, 'Object and Environmental Manipulation': 521, 'Mysterious Occurrences': 453, 'Fire and Destruction': 218}",9337
Alcohol Abuse Total Death of that State,49,"[4548.0, 5703.0, 15443.0, 2760.0, 1407.0, 2186.0, 3670.0, 2482.0, 2104.0, 714.0, 433.0, 2278.0, 2208.0, 5739.0, 3008.0, 347.0, 4452.0, 2206.0, 1146.0, 6701.0]","{15443.0: 1070, 10647.0: 696, 5703.0: 649, 4548.0: 529, 5739.0: 477, 6701.0: 459, 5151.0: 395, 2206.0: 370, 2960.0: 351, 2760.0: 342}",10976
Alcohol % Under 21,25,"[2.6, 2.7, 2.5, 1.9, 3.6, 2.0, 2.8, 3.2, 1.7, 3.9, 4.1, 2.2, 3.1, 2.3, 1.8, 3.5, 3.4, 3.0, 1.5, 2.4]","{2.5: 1239, 2.6: 1218, 2.7: 1019, 2.3: 860, 2.0: 720, 4.0: 696, 3.1: 637, 2.8: 612, 3.7: 603, 3.5: 395}",10976
Alcohol Number of Deaths Under 21,46,"[118.0, 154.0, 386.0, 52.0, 51.0, 44.0, 103.0, 79.0, 59.0, 12.0, 17.0, 93.0, 86.0, 149.0, 66.0, 9.0, 138.0, 60.0, 36.0, 134.0]","{386.0: 1070, 426.0: 696, 154.0: 649, 118.0: 529, 149.0: 477, 134.0: 459, 180.0: 395, 60.0: 370, 101.0: 351, 52.0: 342}",10976
Sunrise,422,"['13:14', '13:06', '13:04', '13:08', '13:01', '13:13', '11:41', '12:19', '13:11', '13:12', '12:14', '13:10', '13:09', '13:19', '13:02', '14:00', '13:03', '13:16', '13:17', '11:30']","{'12:18': 160, '12:20': 146, '12:22': 142, '12:21': 140, '12:26': 133, '12:27': 121, '13:29': 119, '12:19': 118, '13:20': 118, '12:23': 115}",9724
Sunset,356,"['22:18', '22:17', '22:16', '22:08', '22:21', '23:24', '23:33', '22:14', '22:03', '22:13', '23:25', '22:19', '22:10', '22:11', '22:12', '22:46', '23:15', '00:54', '22:02', '22:28']","{'00:54': 210, '00:53': 134, '22:31': 130, '00:55': 130, '22:40': 124, '22:32': 122, '22:28': 118, '22:26': 115, '22:42': 104, '22:12': 100}",9724
Daylight Hours,381,"[9.07, 9.18, 9.2, 9.17, 9.12, 9.13, 11.72, 11.23, 9.05, 8.85, 9.15, 11.18, 9.02, 8.77, 9.08, 9.0, 8.95, 11.75, 14.48, 9.1]","{9.93: 262, 9.92: 192, 9.32: 178, 9.22: 172, 9.35: 168, 9.23: 161, 9.13: 158, 9.5: 157, 9.17: 157, 9.08: 156}",9724
ZIP Code,5783,"['49301', '49220', '49221', '49224', '48001', '49010', '48801', '49707', '48105', '48197', '49756', '49014', '48706', '49615', '48124', '48809', '56352', '48111', '48002', '49307']","{'20770': 20, '78205': 18, '17325': 16, '70116': 14, '92501': 14, '78041': 13, '32084': 13, '78040': 13, '05401': 13, '32765': 13}",9240
Median Household Income,4120,"[168135.0, 64653.0, 56640.0, 51283.0, 63272.0, 68649.0, 53601.0, 48094.0, 93203.0, 67521.0, 47208.0, 64291.0, 58211.0, 72065.0, 76889.0, 63424.0, 64231.0, 71090.0, 87000.0, 50573.0]","{59593.0: 55, 151224.0: 43, 55710.0: 37, 60440.0: 33, 66292.0: 32, 60928.0: 31, 71673.0: 28, 71736.0: 26, 94365.0: 25, 114230.0: 24}",8389
Unemployment Rate (%),1155,"[1.29, 5.11, 5.96, 11.76, 5.19, 3.35, 6.08, 7.27, 2.35, 7.02, 8.5, 5.41, 4.56, 4.59, 5.33, 5.95, 1.84, 8.46, 5.27, 5.72]","{0.0: 237, 6.55: 74, 5.79: 68, 5.59: 52, 3.71: 49, 5.87: 45, 5.85: 45, 4.21: 43, 5.17: 41, 5.02: 40}",8475
Median Age,448,"[41.8, 39.7, 39.6, 31.7, 51.3, 39.4, 36.0, 48.0, 30.1, 32.1, 57.8, 42.6, 44.6, 60.1, 39.3, 40.4, 42.4, 40.5, 47.3, 30.7]","{37.9: 131, 35.4: 99, 33.9: 93, 34.7: 91, 35.1: 87, 38.0: 84, 34.1: 81, 39.7: 79, 35.3: 79, 41.0: 76}",8475
image_id,9656,"[1767260660420741.0, 3034116946811767.0, 2921413078113972.0, 4601024969925881.0, 1433766513635031.0, 1427231224299962.0, 2982684905300478.0, 7253153958147101.0, 4339329762768588.0, 1504669403266152.0, 1860282434149351.2, 288856376059510.0, 1169740686772683.0, 1840359372983111.2, 2958367724442195.0, 4650734564940008.0, 1977128319415618.0, 1982793788535508.0, 2185670348448070.0, 2609301196040819.0]","{1818221468349211.2: 6, 1530979130899419.0: 6, 1617559871967953.0: 6, 1542956199439196.0: 5, 1377488319423242.0: 5, 2975402849451062.0: 5, 3878263818876577.0: 5, 2910920335820225.0: 5, 3467261386924878.0: 5, 1636439456891839.0: 5}",10691
