feature,num_unique_values,unique_values,value_counts,total_values_count
image_url,9671,"['https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An8wP0gKkzpYul6iA4ihgqQ1LqjIRxl5Vcv_77TIg28MD45SZBkpUj9yZ6DxXZA9jzJrsuylYnBdxBJwtuGhQqTCAP7RVgNZ33XAo-Wxtn-BEWuMw7E3uqMwf1kaRW5I3gHTwPD9FZvirsB34aQrRw?stp=s1024x512&_nc_oc=Adj2Tz3zwer6y2u1fvJTZXqnRtFqyLYPK1FxmP1qISGsZAvnFqJeMikCVz5yyiWVorA&ccb=10-5&oh=00_AYD8Ch5F6IKbh2uK4kbOoQ2oaXK07ROngZkwsm-ISkWx0g&oe=67F07F29&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An8dwagDonu4j1ia-RNCLD93C-8Jtkv2uiKtofXepDRE-Wd8wU8pBN-mT68YbY2Hx4VNH8cCV7UD9dgP0tMCDJdmL3zS6_yGux4bM31wD-orxIBlCfsEhY7OxMyiVQn42MVJWLfG14kxjDlbFbNqtiA?stp=s1024x576&_nc_oc=AdjjvMjeI0ZmZVKDnIAZu3Hl8hygghWWuNfFHfImWHrLR20-td4QbytB_paT_cYuNe0&ccb=10-5&oh=00_AYB9N_QB5JH60lWee1eFwbsOPHg8MeQtbzFa6LyrYNoWbg&oe=67F06692&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An_Q-2KjgI5Hb5EkqHEl-9Xa-Vt4hrCPKmvhPJyhSzqQjP5DYPvgkY96DnisAZykXMZHK7_laS6f1oUx-iYLMjEycq3gNyGJd-K8draCfYUZ1eHuieCuI05JeptPnr38OOn28Mc2u4wwDTfhXTfdKKE?stp=s1024x398&_nc_oc=Adi-yZczYphLO2ugc1LRXaTz-rUtb9jTsTSdYlU51IXWnTQMLrPfTkEkPT5pqdLjkIs&ccb=10-5&oh=00_AYBxzA_H0WKC9OsradxQHsQ1Os8P8HsW79htju9hj9Jfbw&oe=67F08C39&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An8KP_zLWswcZT6RNyBR6uVgGLCTLsIhfwEC4Rh9luG92yQzVLR2nTyGs5I2VJGYhg1qRHKbSnCjPDrpbEHbDX5Kzue455okuZT_YKg0UJWxxgSt1WE90Audt79Swj_Dpr1vJblxQonylYoGy3mFMg?stp=s1024x768&_nc_oc=AdhwkypqEsJZ1yDs3l_SROoQvyOZYk4odFB5w1pMSNciPCic0Vq5HTX_KONQ_pNkRHI&ccb=10-5&oh=00_AYBvI7Rw7XJwPUxhF9BSYlvpF--e5AKHDEMsY-LfuXhbSg&oe=67F06846&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An9tLxsee5I5TGcTb7balT_62kE8CB6rL4TrlL4PQc34EqVZXBWBCixSiPeefOs8vAmBwPrPCrov9YPpgCbct3TvZOGv9V-IultQ-EynboAqyRr3oQtF_3D0s_w1nMfWVPUExlyqzdI_aYzoCN7xtPg?stp=s1024x768&_nc_oc=AdhcTCHwbPPqWg4kgLOig5-8sVgXRt4yq8xrX0hIOJPXgfwrcHgQQIrXOKX8rAjRep8&ccb=10-5&oh=00_AYCerL8wonHu1nqTAGaou5H4cug8u3_XLk5JEUKb_1bI2w&oe=67F061C6&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An8TxHDlRuzj4ZPGM-a7PzFDiztFWz0ZAbbQ9KLaUj05e5wyFczcbEUqeXY7VI4jGVirQdnz2qr1mpz3iIAnUDhQJ7bw97An0_yv_Nac5GSBtO89eDX--OFPlIPP6Mqc5fIP3J7WbPT9vst3c3GdMw?stp=s1024x576&_nc_oc=AdjPrhr_XQy6wynMYAFyazWDOB3QDk2zYhNulU0by3EuQt-scKvgMTqu-AVTZSClNn4&ccb=10-5&oh=00_AYAMHCWuI4MpbV3MF3B099U6RaDsQxxRKIPOeZWlzIf-pw&oe=67F07A32&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An-zYZuQn1IXWFpEAReYHE_E8jARRb7F5GgIiyld10cSmJ6DBUJyHlHkPQNVB1g_dA3wXvLFNDn3r_HFenSKhD8UqUHgvN_Pe6p9dweTcMlR9uiH4ZJK7FgfcRu9PE9Xf3Ig-pdt-LUD06BKek6iJw?stp=s1024x576&_nc_oc=AdiLCYibPGFYED22dBSXgzGmiLNDxgaIoC2RlHFBolx0ZpccAyrS-dg2dFmnqXsSwKw&ccb=10-5&oh=00_AYCpZ2R4umsbcFGwICd18FdMwLj8r75lBii_E8gVGd3ygA&oe=67F060C8&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An_Ukq82lWy6kvYHentkMuccrO_wVj8v5olvRVqbRgKHrAVhI1y4BatzqdaH-oP1DULaKXzH4r3NafnKh_51xOxE5RIHh6oxna_LhF3cqelvCzgLrLrLu5DY78IoBuqp-eEKKL2GnyBFZq4CaRGi9Q?stp=s1024x512&_nc_oc=Adi56GGA_ndV1qn2v_hB8Wjh00mKYjg8qSqCbiZ5hzAoxMxo1gAqIR6drJZkCSaGdfs&ccb=10-5&oh=00_AYAqO1k9ro4G1eCk-mUVdIl9R66-OySQ5gDNOpAEP5QX3A&oe=67F06FC3&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An-jrdGwVEOqLspFL-mKcdOWd47Cieamlejw8hyLoFKSHG5B25FjV1rW2_2yNsQRIlfGNs5FlG8CJuP0ELGIxqb2N0GprOKu-YtEJDC6TklEdU_vMU0cswn916l1nCPhWR7uJcCEngEiNtUWWC8P3Q?stp=s1024x576&_nc_oc=AdgXdGw9dWPmkscQ3ambzzdh69ss6c4z2vsCp5IEzT__U_OJKzCbw4nngmQHhw5koo4&ccb=10-5&oh=00_AYCxKJMN_GKJ3TgFY44QgAgrOgdAZDyUMmfQNeAawr8qNg&oe=67F09164&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An_uBlJ2evAVnqj5XSEifLaPFP8MWCFa6zzW0NNY82PYbi_Zuwo6ZNclhwknOSW2d-3qhiCtsTSiG0ZJWD3OBhHnPwOX8uKNv-txUfVVwR_AEIZ8SnuEL1YrIG9qdprD8Ijlfw2Y_aLiTq10uewJfA?stp=s1024x576&_nc_oc=AdgINiDSb1N90Px0_2B-gK-GosRCnDfz4BnfG0OOdoF_D5wewP37WyWZ8b3UUP-tqKk&ccb=10-5&oh=00_AYBp7Se_cBfZkLm6OZs6vNh5FJIaakAtRIr8VqOVnqCQ2g&oe=67F05E44&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An-d4X0YxEQo-ZfPwXKbpYmbfuYipIpcxqMGtj-7az8fQ4cKHJIL3worLYDsjJNknezuNSQCDYTMXbXtqVYNiJRyF03fhjXSMn2SA4NXPIINMRPzlcUFzgdk9-3bGPhwVeiLbGwSkRcA2Yy3t4jJMg?stp=s1024x512&_nc_oc=AdiPenKB7n2MjctyaWWaA0Ym52uNG-asi_9IjHlNaH-rWCdgKInhmiR7BGccNMh4LfY&ccb=10-5&oh=00_AYAp8EfFOxy-98piZguaUe4OLpZ9nKxsF5PHl86R3uk-Yw&oe=67F0856B&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An-AzYbVTOHdYEHs5xoqSBY2YlKob1m4_2HosPvCBsxfu6sQigAzXSo5-UTA8uQ50nhwHa7Q6t81kjIUEAREDlC25avC4aibgzZzQ4Z31TreSXph48jgaIzHZjg8cbGWRb_fR9j5wjOaz069faDNdA?stp=s1024x576&_nc_oc=AdhlsP-_TjQ5jtjzAeKn9SkDi197gcEoKzLb4Ix7rNV0Wvi4bAlA03CwzR_QEEAoy_4&ccb=10-5&oh=00_AYBH48850RXKz-vJn7_ECueaXnkuKL4-uqSR7R7TitUISA&oe=67F07804&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An8sAaIac6rYMoM_nqYKs34VpKuhxryILRcIsKiENA3RZagxsLOSJDcEirHhqwHXMX9NrIdotFRAG91SMqMMk0_pV9UagfJwPJRcHsha2qwKXXMHPrvc9RDsiHrenChuEnWMG5oV1fO18YDTmj73GA?stp=s1024x576&_nc_oc=AdhvtP-ktIMrFWpiSjaiqxlZZV-R6rfTLJy2cwS7LuvL72WWACWjRq_j3sNKLADEHYE&ccb=10-5&oh=00_AYCbbIhhO9ZH8vIiFOlGuho2Nx68hmHphFe__1iu13luGg&oe=67F066EB&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An86Rn8Se21XiK3SoDHkLsrx3cSPgBJxZDsb83VKbnyDU5AMw8SMKDRWMqfFqxtJZl0wfHwhj6FdBCX005LF9wr0-MIn-i_rp6TbUFTfpfEfFOZUwXyug4c-SMXoCx5mAC2iQSg2wwmrdgOoe-xvRUg?stp=s1024x576&_nc_oc=AdjDm0gib-ZfNuhkbyG26moyrUV-KOC_nqmVu95bYye1g3ujC-9GwupU2in0ixUL4jk&ccb=10-5&oh=00_AYCTMC7YKvDAeFl-R5h7jglYr0uzgH2hDByWKvdUwMiNow&oe=67F07D84&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An8A7gtcvKMNocaJWrxOViTEC5Xtg6bo3hmel82OUNroIMbKPt6acTL3a4vhYCUhB6PxLP6h2bhIweANjCQXuHU_C1hbz_bAXm-6tj3JyDV4TVYK9Yu-ZoEDxybvqKNEflczW3TAjINcnpP7nwviow?stp=s1024x576&_nc_oc=Adgb6UOtN2fsLOOKHIISKrOsfZklUV8u0vJrfzSbw8GFEJUp1XCmhx1--kfS7sAraq0&ccb=10-5&oh=00_AYBLqBZ8c5_rIonNzfRCdB7KjH0k5X8keJDPP7t3bhnVOQ&oe=67F06327&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An_-RwYC9wjIJ6vNORuwkpxqGmDNEE6n8X5EfdJyhSXHNcd7oYgUTCGhd7XJyGp6icvoVCpDSZyWPaZuyMn5b2sXELqhbxfWXn-qk6z1dKBAOmfup0D3_mPocqs7MXNzo_hLlWXqgZLtZDsG0OjHDg?stp=s1024x576&_nc_oc=AdiS-HNBic7TTxslCHQABX2E5PMSD-H62_gEDgnmvO_cykLu_9YOQrfWgqdJBbdVnnI&ccb=10-5&oh=00_AYAy1t-v9FxVEuZqgo9qP1sTGFW-ciymCq8noRmLMXOriw&oe=67F0865A&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An_bZP_OFjZPzAVRwruh0cAMkfN9k2sSnnRXJzMqLiHsJF9wwnUEz5SHyM6peLc3UV0Py1Ql1BKApf_NVDjW8MojERAfhNO3NmueMopYgLslmEPjsdD1yNBRDMHXWSYpyXMiS4DMmb6ktKo2akbBx2c?stp=s1024x512&_nc_oc=AdiH7vAafoQ-RNN_m0zZ1TdEkTY7PHETvs8wv7vXM5Q-81a5gdpPJP7ubPQyj-wqKKA&ccb=10-5&oh=00_AYC3Bs9896RB_IqD-B-oyX8JVeqBArzCzxF0hMusGXotgQ&oe=67F07747&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An9XsccGh7ek9kAtG7jB1-rGv23psxsy4l2BpxzvyL9aWi-ms-8TLMonZbtENKvx5JlT4zwb3TXD1RSJ-qW7CB-ogixkeRqfvzFj-AISe3Q5Ma61R0dAElL7jQvWPRKxq0keZInJxwhRPJYdMtLoDg?stp=s1024x576&_nc_oc=Adj-EnhN_cADoxFQKvYfUPPZPCrhdYHszDY1l6vK6rL1THuIUhQmrHivQpOauuDEFWQ&ccb=10-5&oh=00_AYBW3XUHhU6WvPH98ke7vFICVFtgo4CTh41gv1YS52teAw&oe=67F05B3F&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An-3nhvgpq-FmAJP_PRc8ShBT2zuisT7Stw8_lTg1_0LBK2-EshVRMv8WO__JnnnUAsLyJvSkWWTMEMXu6zDgPzWwF6H9J9mPKYQNdoRUpeb7oE0Y7_yE_nusZ_8vRV8iot7IF47OKo1OXrrYZcRwy4?stp=s1024x768&_nc_oc=AdgmvB0URRNtR7l0DsS9k-gTjVPDagfN3LZ1DzWBpCzYnU0scOkE05OckR0W1yG_B90&ccb=10-5&oh=00_AYBnQW-lrdIpl9NmpyY1j5KsUU4wGvWNMSBNRhbR36cbRA&oe=67F08A1E&_nc_sid=201bca', 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An8QlHVDDruFgB9l6BLYwVKCb-HEU0FjH3twBOgLgURrFeXzYREp907sl93YSOEVy3c0-i9Kq1oGBuKtxKWr8hav8gklBXw1xVuOP-SehZtTca3Nvpf1qX6rac7fF_0igQ2n7xEpwu-YUJge2LlnXA?stp=s1024x576&_nc_oc=Adiw8L4-snc2NY4z9KjdBUCH_TezlqnPSSQBFYSbvfBj0NokMqzUuDOJigqgIE2eZMw&ccb=10-5&oh=00_AYCNR5G9x52nCcsd3hnaZTkmgtCvT8LUE_wOFDKg0OMEQA&oe=67F062BA&_nc_sid=201bca']","{'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An_5ko7YnV8ERzC7XK9jCnEyY6UysQ-6aILNiTDNKQOG8CHLh5Yztfb2M72fZG8iSRYAdh4X_BI_sqcC57hZiJORLQCeK-evi4N6i5Nk5bkIy-RFaULstHWWUCTeY3aghsYcw_1vZNZCftCJnAX9vSg?stp=s1024x768&_nc_oc=AdgR5c0E8Fh7f48Op4y1IpyUvzKmFL-A-Jrlgku4tKabuc-ByLEbzkmtkFHhItg8G_c&ccb=10-5&oh=00_AYDfbp9Q5B8KNbChiyaPjQM5sojdxyMPViXdHxRih-BbRQ&oe=67F08675&_nc_sid=201bca': 6, 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An-CkL_ObpnNuheoDIFYUAUrWebGcBNiQ4QST2u6ldM06nYjRZ1_VuAXD9EMkJJ1lrLYhPoXoC8-S8VXbfqDxMKnWVYyuDFo_KFjvX86DtePCg6iAImDvifGHwYMCk72X4xxTTbG6GzH4_wvphbcfA?stp=s1024x768&_nc_oc=AdgJh3kWdEinwRkZrS-WaXOnyzuVmJJOHkcPPzxC7iRsdtErQwHfsjBsDftoIdZG8Sc&ccb=10-5&oh=00_AYATjsfi_TIuliSTMyjPtG35CJMOSZtlPSuzGcI3ohNrTQ&oe=67F08078&_nc_sid=201bca': 6, 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An_3C5V_AS2wVbTu1cbykYx_xyEFRcJKcJUKEMNZmX23aesEbFAamV1ENhTE9Ii82GkPnIw8BWML2dcfH8YMG22PT12Wa-uxE0WtaDZ-e2NULFsRLZjD-zfJcZzCUcN3wqBQFfHHIL8tuyPUzyubQg?stp=s1024x768&_nc_oc=AdgzpogBNz9E1OS50Bc2E33GMnigJwaIsbVAmNu2i9BLSNSoPYuS3f6csIDi0xvAYwc&ccb=10-5&oh=00_AYA_8h8t1bZiFteW9m6hNDGA_8kxGddtEjF7jmcIrGEgzA&oe=67F07241&_nc_sid=201bca': 6, 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An_a_eLm02Tk3Jo8nqRSpX-guqV6cbcWXuXd4_shqtgPf3yFJgB2BGuWqmBB-Sw5cADdrv3wug8x9l2Tjv3wc8Oj87LX7UkiyxBDvvRdKDXrjTArJ0t5gWmV-jKueRWxlJFEGjJgCwQ1VpRsXPInpw?stp=s1024x576&_nc_oc=AdgUdhruCIKSqO8UNE0vgo03zrahlNel9ePxAYjX1d83-pPLsAPo3YuSiRvPRP2rhEs&ccb=10-5&oh=00_AYBdb8n5pbUFHj0bDim5Q5lHHILI3NAFoc-WJ9MY87Q8pw&oe=67F09A0B&_nc_sid=201bca': 5, 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An8e2sG8T-1h0NtiYpgsJ4CRugLrckQ2045hJwdjQks53_xFb85c_g-squgG7bVuANfq8xUIRUD49ANmwYC8ARGoQ3dwEo75pQzuozZxsY6UrAJaTGvAXFJCWGft5Em08wTnpB66mo7P7LlxFsHkVtE?stp=s1024x512&_nc_oc=AdjZneAwHInkTOh0RdOxhHr05zi2YACnhFko0UrQ_RARkiGwZN4aB1AeGZddL1qHO08&ccb=10-5&oh=00_AYB5ZZiq7D9BRa5M2XlBolYxXi9dc9GrvMVsrW2-eQltcQ&oe=67F09059&_nc_sid=201bca': 5, 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An_Jaw9N78LfNSoVN07UPIZlJ3zH1OQoD86bJRXBstUuxotE3xyO9UjLdu5wcbDuZEXppscXA8oBGJaXPefR-CuDBGKEdv--KyBH2ygBKamHKuh-CHyCe0ADEvYAENsEv7G3LD1IRi1xc11eWwaXfQ?stp=s1024x768&_nc_oc=AdhtQjnNSoWaLbvG8AcUs3t-BFNGgT0WaBlhBVlbdWVo-_jJR-hRronJBIvSRrCO-Eg&ccb=10-5&oh=00_AYBhE7Ff1N8tcsAKNjcvH_EiL5Ofw_svSSLlXk9BTl8U4A&oe=67F0900F&_nc_sid=201bca': 5, 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An_bRE7FeZ2NCtuGprwp-XJZrod7wHgB9EsSdoVR5mgDOxC79gMB1VdQpIMp-LtLNjQlrENlplDiMrQYXrKm8ZoVSMVLyr8V1AOeHKDWXgFHZ27GP-3eVpVrcZdwqdyRJYtYYVMkKuV_QhH-hIfKzg?stp=s1024x576&_nc_oc=AdjSR3GojubeBH3uofymKL9sSQO7jtHWCS23emM0HVnaJJM9rODZ4fGKv1h2pIGmCDc&ccb=10-5&oh=00_AYDBisWYbAqv1q-bFxcFYbowxlETIhQa83x6k5M3NNYl_Q&oe=67F06683&_nc_sid=201bca': 5, 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An_iT7Wg_cN3trSnFTwmm2hwkWt4NwK9cdnb4YZyvwFgKZdNsLoUSktds0FJUDpkdTR3fNKWCuK6acei3zPTgjMlWJBfTOhbjazo6aVmFIXRQrvzBveRCmhtOqffADx2Xar_hIlycRY0F44cC-Nbrw?stp=s1024x576&_nc_oc=AdhC6Std1gklglv9uFSVf3z265WaUJ7WyYQjp5lqeabdRK3xylqgRMXmDDZWnlmKASk&ccb=10-5&oh=00_AYBSD70uuVE6-xHl4qfoiLngqkNkdBA3Pqtj_wgUbZXg1w&oe=67F0AAC6&_nc_sid=201bca': 5, 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An8NGAa20Z1RyWKhH3w0bK8QQ-LxXdF140dPN9v6WQmcdwR6YW9-aaHLAmz5M9RATusjEQJL6U1Yl63a5wmiw90E_ABxzNsdB8BMGgdr_xLAehSna8TMzVxh98cCMdKJa8CPrG8nuu70bKX5ZadJvw?stp=s1024x576&_nc_oc=AdgBE3FIoEUZQovjCpPbf5fzYscJ3bhZpGp-u5PxqQWLZAANH1PP3W6NzlwPV30uGSo&ccb=10-5&oh=00_AYA9_blX92yBL7yC5HmSk6i2eCB6GYPVNg3_e4Teye_tHg&oe=67F06299&_nc_sid=201bca': 5, 'https://scontent-lax3-2.xx.fbcdn.net/m1/v/t6/An851tpo-J4NG340Hrtdi0D6tusLFwFYjFM87uMrPTlnNFDZAYt7J9ywzm4WN0bpj-9JYJeK88LNkXw3jMANOq_RFCI96NGKOUnh0_vCpz52mHLDAp4WzFxEr2MpiEuJA89m6hA88MrDHZY4ymWS2A?stp=s1024x576&_nc_oc=AdgK7nSog0zHjrAecclhhydfaj6YcbEOQQPPrgEk1yt3V6Gc7Q2Rt5Lw6hD8o_ywrzY&ccb=10-5&oh=00_AYDiOycrpAM4db3umIjgWRTCn31xkzeoCorg4mjrsytJSA&oe=67F076F8&_nc_sid=201bca': 5}",10676
image_timestamp,9643,"[1699727916385.0, 1565045725842.0, 1630958271000.0, 1544202232000.0, 1448820572717.0, 1534942303932.0, 1536070505885.0, 1714661477529.0, 1536854927982.0, 1533554448754.0, 1588896000000.0, 1447513669000.0, 1447515260000.0, 1625683593200.0, 1538680683900.0, 1536087687180.0, 1717066365623.0, 1547484780992.0, 1716293462979.0, 1536271805894.0]","{612424860000.0: 9, 1482446026835.0: 6, 1732417033272.0: 6, 1521299307438.0: 6, 1656373752000.0: 6, 1540679880852.0: 5, 1536518295796.0: 5, 1537817471918.0: 5, 1500045119000.0: 5, 1706889621000.0: 5}",10691
image_altitude,9163,"[194.56584567949, 263.92575506773, 276.07609078195, 253.76938322093, 8.4254636680707, 227.7311757151, 315.78445003275, 299.71497130487, 287.86783548072, 182.66844580509, 176.88767115679, 287.95676489174, 217.16406250186, 236.30697312392, 282.87748648506, 223.05906140991, 211.63791507576, 273.61878741439, 273.50400248263, 185.96074178722]","{2.0: 14, 2.0000000009313: 10, 254.94461090863: 6, 235.79679843038: 6, 210.03426414821: 5, 69.539855737239: 5, 10.681574134156: 5, 130.82134870719: 5, 0.58141937013716: 5, 41.606163326651: 5}",10147
image_quality_score,3910,"[0.0, 0.94, 0.16233978132885, 0.32585792182418, 0.23643085137129, 0.71757231990925, 0.6031894934334, 0.37685020164737, 0.92916666666667, 1.0, 0.72455306649208, 0.5346186440678, 0.59008980242673, 0.65731707317073, 0.83159100521641, 0.37307137569166, 0.74418586892091, 0.70476744186047, 0.34586466165414, 0.74861359570662]","{0.0: 3862, 1.0: 149, 0.96878612716763: 129, 0.90566037735849: 56, 0.66951219512195: 55, 0.92307692307692: 51, 0.86976744186047: 45, 0.96666666666667: 29, 0.93157894736842: 27, 0.9050046339203: 26}",10691
State 25+ Population,50,"['6,971,895', '9,161,945', '26,909,869', '4,934,755', '2,037,763', '3,030,635', '4,980,297', '4,273,260', '2,639,889', '1,015,078', '485,779', '3,117,186', '3,451,208', '8,117,973', '6,474,427', '506,739', '395,348', '7,245,632', '3,077,867', '1,942,133']","{'26,909,869': 1070, '19,224,688': 696, '9,161,945': 649, '6,971,895': 529, '8,117,973': 477, '13,987,094': 459, '8,730,697': 395, '3,077,867': 370, '4,559,631': 351, '4,934,755': 342}",10976
State% of High School Diploma,49,"[91.96, 95.89, 84.45, 96.1, 88.67, 91.87, 88.97, 91.09, 88.71, 94.53, 93.31, 86.68, 87.93, 91.74, 90.98, 93.62, 93.59, 89.7, 87.99, 91.89]","{84.45: 1070, 85.39: 696, 95.89: 649, 91.96: 529, 91.74: 477, 88.03: 459, 88.97: 445, 90.17: 395, 87.99: 370, 90.64: 351}",10976
State% of Bachelor's Degree,48,"[31.67, 36.54, 36.19, 50.62, 25.27, 36.33, 32.43, 48.55, 27.92, 35.99, 32.79, 26.45, 27.43, 30.72, 43.1, 31.74, 29.24, 34.91, 26.98, 35.4]","{36.19: 1070, 33.12: 696, 36.54: 649, 31.67: 604, 30.72: 543, 40.9: 459, 37.14: 395, 26.98: 370, 28.88: 351, 50.62: 342}",10976
State% of Advanced Degree,50,"[12.48, 16.94, 14.05, 28.27, 9.37, 13.88, 12.64, 24.16, 9.62, 13.82, 11.91, 9.65, 10.85, 11.79, 17.4, 9.38, 10.72, 13.19, 11.11, 13.39]","{14.05: 1070, 11.9: 696, 16.94: 649, 12.48: 529, 11.79: 477, 17.72: 459, 15.01: 395, 11.11: 370, 10.39: 351, 28.27: 342}",10976
